Loan_ID,Gender,Married,Dependents,Education,Self_Employed,ApplicantIncome,CoapplicantIncome,LoanAmount,Loan_Amount_Term,Credit_History,Property_Area,Loan_Status
LP100000,Male,No,0,Graduate,No,5849,0.0,,360.0,1.0,Urban,Y
LP100001,Male,Yes,1,Graduate,No,4583,1508.0,128.0,360.0,1.0,Rural,N
LP100002,Male,Yes,0,Graduate,Yes,3000,0.0,66.0,360.0,1.0,Urban,Y
LP100003,Male,Yes,0,Not Graduate,No,2583,2358.0,120.0,360.0,1.0,Urban,Y
LP100004,Male,No,0,Graduate,No,6000,0.0,141.0,360.0,1.0,Urban,Y
LP100005,Male,Yes,2,Graduate,Yes,5417,4196.0,267.0,360.0,1.0,Urban,Y
LP100006,Male,Yes,0,Not Graduate,No,2333,1516.0,95.0,360.0,1.0,Urban,Y
LP100007,Male,Yes,3+,Graduate,No,3036,2504.0,158.0,360.0,0.0,Semiurban,N
LP100008,Male,Yes,2,Graduate,No,4006,1526.0,168.0,360.0,1.0,Urban,Y
LP100009,Male,Yes,1,Graduate,No,12841,10968.0,349.0,360.0,1.0,Semiurban,N
LP100010,Male,Yes,2,Graduate,No,3200,700.0,70.0,360.0,1.0,Urban,Y
LP100011,Male,Yes,2,Graduate,,2500,1840.0,109.0,360.0,1.0,Urban,Y
LP100012,Male,Yes,2,Graduate,No,3073,8106.0,200.0,360.0,1.0,Urban,Y
LP100013,Male,No,0,Graduate,No,1853,2840.0,114.0,360.0,1.0,Rural,N
LP100014,Male,Yes,2,Graduate,No,1299,1086.0,17.0,120.0,1.0,Urban,Y
LP100015,Male,No,0,Graduate,No,4950,0.0,125.0,360.0,1.0,Urban,Y
LP100016,Male,No,1,Not Graduate,No,3596,0.0,100.0,240.0,,Urban,Y
LP100017,Female,No,0,Graduate,No,3510,0.0,76.0,360.0,0.0,Urban,N
LP100018,Male,Yes,0,Not Graduate,No,4887,0.0,133.0,360.0,1.0,Rural,N
LP100019,Male,Yes,0,Graduate,,2600,3500.0,115.0,,1.0,Urban,Y
LP100020,Male,Yes,0,Not Graduate,No,7660,0.0,104.0,360.0,0.0,Urban,N
LP100021,Male,Yes,1,Graduate,No,5955,5625.0,315.0,360.0,1.0,Urban,Y
LP100022,Male,Yes,0,Not Graduate,No,2600,1911.0,116.0,360.0,0.0,Semiurban,N
LP100023,,Yes,2,Not Graduate,No,3365,1917.0,112.0,360.0,0.0,Rural,N
LP100024,Male,Yes,1,Graduate,,3717,2925.0,151.0,360.0,,Semiurban,N
LP100025,Male,Yes,0,Graduate,Yes,9560,0.0,191.0,360.0,1.0,Semiurban,Y
LP100026,Male,Yes,0,Graduate,No,2799,2253.0,122.0,360.0,1.0,Semiurban,Y
LP100027,Male,Yes,2,Not Graduate,No,4226,1040.0,110.0,360.0,1.0,Urban,Y
LP100028,Male,No,0,Not Graduate,No,1442,0.0,35.0,360.0,1.0,Urban,N
LP100029,Female,No,2,Graduate,,3750,2083.0,120.0,360.0,1.0,Semiurban,Y
LP100030,Male,Yes,1,Graduate,,4166,3369.0,201.0,360.0,,Urban,N
LP100031,Male,No,0,Graduate,No,3167,0.0,74.0,360.0,1.0,Urban,N
LP100032,Male,No,1,Graduate,Yes,4692,0.0,106.0,360.0,1.0,Rural,N
LP100033,Male,Yes,0,Graduate,No,3500,1667.0,114.0,360.0,1.0,Semiurban,Y
LP100034,Male,No,3+,Graduate,No,12500,3000.0,320.0,360.0,1.0,Rural,N
LP100035,Male,Yes,0,Graduate,No,2275,2067.0,,360.0,1.0,Urban,Y
LP100036,Male,Yes,0,Graduate,No,1828,1330.0,100.0,,0.0,Urban,N
LP100037,Female,Yes,0,Graduate,No,3667,1459.0,144.0,360.0,1.0,Semiurban,Y
LP100038,Male,No,0,Graduate,No,4166,7210.0,184.0,360.0,1.0,Urban,Y
LP100039,Male,No,0,Not Graduate,No,3748,1668.0,110.0,360.0,1.0,Semiurban,Y
LP100040,Male,No,0,Graduate,No,3600,0.0,80.0,360.0,1.0,Urban,N
LP100041,Male,No,0,Graduate,No,1800,1213.0,47.0,360.0,1.0,Urban,Y
LP100042,Male,Yes,0,Graduate,No,2400,0.0,75.0,360.0,,Urban,Y
LP100043,Male,Yes,0,Graduate,No,3941,2336.0,134.0,360.0,1.0,Semiurban,Y
LP100044,Male,Yes,0,Not Graduate,Yes,4695,0.0,96.0,,1.0,Urban,Y
LP100045,Female,No,0,Graduate,No,3410,0.0,88.0,,1.0,Urban,Y
LP100046,Male,Yes,1,Graduate,No,5649,0.0,44.0,360.0,1.0,Urban,Y
LP100047,Male,Yes,0,Graduate,No,5821,0.0,144.0,360.0,1.0,Urban,Y
LP100048,Female,Yes,0,Graduate,No,2645,3440.0,120.0,360.0,0.0,Urban,N
LP100049,Female,No,0,Graduate,No,4000,2275.0,144.0,360.0,1.0,Semiurban,Y
LP100050,Female,Yes,0,Not Graduate,No,1928,1644.0,100.0,360.0,1.0,Semiurban,Y
LP100051,Female,No,0,Graduate,No,3086,0.0,120.0,360.0,1.0,Semiurban,Y
LP100052,Female,No,0,Graduate,No,4230,0.0,112.0,360.0,1.0,Semiurban,N
LP100053,Male,Yes,2,Graduate,No,4616,0.0,134.0,360.0,1.0,Urban,N
LP100054,Female,Yes,1,Graduate,Yes,11500,0.0,286.0,360.0,0.0,Urban,N
LP100055,Male,Yes,2,Graduate,No,2708,1167.0,97.0,360.0,1.0,Semiurban,Y
LP100056,Male,Yes,0,Graduate,No,2132,1591.0,96.0,360.0,1.0,Semiurban,Y
LP100057,Male,Yes,0,Graduate,No,3366,2200.0,135.0,360.0,1.0,Rural,N
LP100058,Male,Yes,1,Graduate,No,8080,2250.0,180.0,360.0,1.0,Urban,Y
LP100059,Male,Yes,2,Not Graduate,No,3357,2859.0,144.0,360.0,1.0,Urban,Y
LP100060,Male,Yes,0,Graduate,No,2500,3796.0,120.0,360.0,1.0,Urban,Y
LP100061,Male,Yes,3+,Graduate,No,3029,0.0,99.0,360.0,1.0,Urban,Y
LP100062,Male,Yes,0,Not Graduate,Yes,2609,3449.0,165.0,180.0,0.0,Rural,N
LP100063,Male,Yes,1,Graduate,No,4945,0.0,,360.0,0.0,Rural,N
LP100064,Female,No,0,Graduate,No,4166,0.0,116.0,360.0,0.0,Semiurban,N
LP100065,Male,Yes,0,Graduate,No,5726,4595.0,258.0,360.0,1.0,Semiurban,N
LP100066,Male,No,0,Not Graduate,No,3200,2254.0,126.0,180.0,0.0,Urban,N
LP100067,Male,Yes,1,Graduate,No,10750,0.0,312.0,360.0,1.0,Urban,Y
LP100068,Male,Yes,3+,Not Graduate,Yes,7100,0.0,125.0,60.0,1.0,Urban,Y
LP100069,Female,No,0,Graduate,No,4300,0.0,136.0,360.0,0.0,Semiurban,N
LP100070,Male,Yes,0,Graduate,No,3208,3066.0,172.0,360.0,1.0,Urban,Y
LP100071,Male,Yes,2,Not Graduate,Yes,1875,1875.0,97.0,360.0,1.0,Semiurban,Y
LP100072,Male,No,0,Graduate,No,3500,0.0,81.0,300.0,1.0,Semiurban,Y
LP100073,Male,Yes,3+,Not Graduate,No,4755,0.0,95.0,,0.0,Semiurban,N
LP100074,Male,Yes,3+,Graduate,Yes,5266,1774.0,187.0,360.0,1.0,Semiurban,Y
LP100075,Male,No,0,Graduate,No,3750,0.0,113.0,480.0,1.0,Urban,N
LP100076,Male,No,0,Graduate,No,3750,4750.0,176.0,360.0,1.0,Urban,N
LP100077,Male,Yes,1,Graduate,Yes,1000,3022.0,110.0,360.0,1.0,Urban,N
LP100078,Male,Yes,3+,Graduate,No,3167,4000.0,180.0,300.0,0.0,Semiurban,N
LP100079,Male,Yes,3+,Not Graduate,Yes,3333,2166.0,130.0,360.0,,Semiurban,Y
LP100080,Female,No,0,Graduate,No,3846,0.0,111.0,360.0,1.0,Semiurban,Y
LP100081,Male,Yes,1,Graduate,Yes,2395,0.0,,360.0,1.0,Semiurban,Y
LP100082,Female,Yes,2,Graduate,No,1378,1881.0,167.0,360.0,1.0,Urban,N
LP100083,Male,Yes,0,Graduate,No,6000,2250.0,265.0,360.0,,Semiurban,N
LP100084,Male,Yes,1,Graduate,No,3988,0.0,50.0,240.0,1.0,Urban,Y
LP100085,Male,No,0,Graduate,No,2366,2531.0,136.0,360.0,1.0,Semiurban,Y
LP100086,Male,Yes,2,Not Graduate,No,3333,2000.0,99.0,360.0,,Semiurban,Y
